year,city,country,avg_temp_tashkent,5_year_avg,year_global,avg_temp_global,5_year_global_avg
1832,Tashkent,Uzbekistan,9.48,,1832,7.45,
1833,Tashkent,Uzbekistan,9.93,,1833,8.01,
1834,Tashkent,Uzbekistan,9.95,,1834,8.15,
1835,Tashkent,Uzbekistan,9.15,,1835,7.39,
1836,Tashkent,Uzbekistan,9.65,9.632,1836,7.7,7.74
1837,Tashkent,Uzbekistan,9.32,9.6,1837,7.38,7.726
1838,Tashkent,Uzbekistan,9.02,9.418,1838,7.51,7.626
1839,Tashkent,Uzbekistan,9.05,9.238,1839,7.63,7.522
1840,Tashkent,Uzbekistan,9.63,9.334,1840,7.8,7.604
1841,Tashkent,Uzbekistan,9.13,9.23,1841,7.69,7.602
1842,Tashkent,Uzbekistan,10.1,9.386,1842,8.02,7.73
1843,Tashkent,Uzbekistan,10.51,9.684,1843,8.17,7.862
1844,Tashkent,Uzbekistan,9.38,9.75,1844,7.65,7.866
1845,Tashkent,Uzbekistan,9.66,9.756,1845,7.85,7.876
1846,Tashkent,Uzbekistan,10.33,9.996,1846,8.55,8.048
1847,Tashkent,Uzbekistan,9.79,9.934,1847,8.09,8.062
1848,Tashkent,Uzbekistan,9.25,9.682,1848,7.98,8.024
1849,Tashkent,Uzbekistan,9.84,9.774,1849,7.98,8.09
1850,Tashkent,Uzbekistan,9.59,9.76,1850,7.9,8.1
1851,Tashkent,Uzbekistan,9.84,9.662,1851,8.18,8.026
1852,Tashkent,Uzbekistan,9.84,9.672,1852,8.1,8.028
1853,Tashkent,Uzbekistan,9.53,9.728,1853,8.04,8.04
1854,Tashkent,Uzbekistan,10.16,9.792,1854,8.21,8.086
1855,Tashkent,Uzbekistan,10.51,9.976,1855,8.11,8.128
1856,Tashkent,Uzbekistan,10.05,10.018,1856,8,8.092
1857,Tashkent,Uzbekistan,9.33,9.916,1857,7.76,8.024
1858,Tashkent,Uzbekistan,9.99,10.008,1858,8.1,8.036
1859,Tashkent,Uzbekistan,10.49,10.074,1859,8.25,8.044
1860,Tashkent,Uzbekistan,9.24,9.82,1860,7.96,8.014
1861,Tashkent,Uzbekistan,9.66,9.742,1861,7.85,7.984
1862,Tashkent,Uzbekistan,9.14,9.704,1862,7.56,7.944
1863,Tashkent,Uzbekistan,10.35,9.776,1863,8.11,7.946
1864,Tashkent,Uzbekistan,9.45,9.568,1864,7.98,7.892
1865,Tashkent,Uzbekistan,9.7,9.66,1865,8.18,7.936
1866,Tashkent,Uzbekistan,9.82,9.692,1866,8.29,8.024
1867,Tashkent,Uzbekistan,10.7,10.004,1867,8.44,8.2
1868,Tashkent,Uzbekistan,9.88,9.91,1868,8.25,8.228
1869,Tashkent,Uzbekistan,9.88,9.996,1869,8.43,8.318
1870,Tashkent,Uzbekistan,10.14,10.084,1870,8.2,8.322
1871,Tashkent,Uzbekistan,9.88,10.096,1871,8.12,8.288
1872,Tashkent,Uzbekistan,10.23,10.002,1872,8.19,8.238
1873,Tashkent,Uzbekistan,10.47,10.12,1873,8.35,8.258
1874,Tashkent,Uzbekistan,10.42,10.228,1874,8.43,8.258
1875,Tashkent,Uzbekistan,10.33,10.266,1875,7.86,8.19
1876,Tashkent,Uzbekistan,9.69,10.228,1876,8.08,8.182
1877,Tashkent,Uzbekistan,9.88,10.158,1877,8.54,8.252
1878,Tashkent,Uzbekistan,10.26,10.116,1878,8.83,8.348
1879,Tashkent,Uzbekistan,10.75,10.182,1879,8.17,8.296
1880,Tashkent,Uzbekistan,10.6,10.236,1880,8.12,8.348
1881,Tashkent,Uzbekistan,10.61,10.42,1881,8.27,8.386
1882,Tashkent,Uzbekistan,9.37,10.318,1882,8.13,8.304
1883,Tashkent,Uzbekistan,9.57,10.18,1883,7.98,8.134
1884,Tashkent,Uzbekistan,9.35,9.9,1884,7.77,8.054
1885,Tashkent,Uzbekistan,9.47,9.674,1885,7.92,8.014
1886,Tashkent,Uzbekistan,8.41,9.234,1886,7.95,7.95
1887,Tashkent,Uzbekistan,9.92,9.344,1887,7.91,7.906
1888,Tashkent,Uzbekistan,11.38,9.706,1888,8.09,7.928
1889,Tashkent,Uzbekistan,9.59,9.754,1889,8.32,8.038
1890,Tashkent,Uzbekistan,9.7,9.8,1890,7.97,8.048
1891,Tashkent,Uzbekistan,9.21,9.96,1891,8.02,8.062
1892,Tashkent,Uzbekistan,10.13,10.002,1892,8.07,8.094
1893,Tashkent,Uzbekistan,10.27,9.78,1893,8.06,8.088
1894,Tashkent,Uzbekistan,9.68,9.798,1894,8.16,8.056
1895,Tashkent,Uzbekistan,10.25,9.908,1895,8.15,8.092
1896,Tashkent,Uzbekistan,10.31,10.128,1896,8.21,8.13
1897,Tashkent,Uzbekistan,9.8,10.062,1897,8.29,8.174
1898,Tashkent,Uzbekistan,8.67,9.742,1898,8.18,8.198
1899,Tashkent,Uzbekistan,11.07,10.02,1899,8.4,8.246
1900,Tashkent,Uzbekistan,9.53,9.876,1900,8.5,8.316
1901,Tashkent,Uzbekistan,9.93,9.8,1901,8.54,8.382
1902,Tashkent,Uzbekistan,10.49,9.938,1902,8.3,8.384
1903,Tashkent,Uzbekistan,8.91,9.986,1903,8.22,8.392
1904,Tashkent,Uzbekistan,9.85,9.742,1904,8.09,8.33
1905,Tashkent,Uzbekistan,9.31,9.698,1905,8.23,8.276
1906,Tashkent,Uzbekistan,10.06,9.724,1906,8.38,8.244
1907,Tashkent,Uzbekistan,9.26,9.478,1907,7.95,8.174
1908,Tashkent,Uzbekistan,9.83,9.662,1908,8.19,8.168
1909,Tashkent,Uzbekistan,10.73,9.838,1909,8.18,8.186
1910,Tashkent,Uzbekistan,10.02,9.98,1910,8.22,8.184
1911,Tashkent,Uzbekistan,9.61,9.89,1911,8.18,8.144
1912,Tashkent,Uzbekistan,10.47,10.132,1912,8.17,8.188
1913,Tashkent,Uzbekistan,10.36,10.238,1913,8.3,8.21
1914,Tashkent,Uzbekistan,11.08,10.308,1914,8.59,8.292
1915,Tashkent,Uzbekistan,11.79,10.662,1915,8.59,8.366
1916,Tashkent,Uzbekistan,9.94,10.728,1916,8.23,8.376
1917,Tashkent,Uzbekistan,11.16,10.866,1917,8.02,8.346
1918,Tashkent,Uzbekistan,9.94,10.782,1918,8.13,8.312
1919,Tashkent,Uzbekistan,9.95,10.556,1919,8.38,8.27
1920,Tashkent,Uzbekistan,8.65,9.928,1920,8.36,8.224
1921,Tashkent,Uzbekistan,9.48,9.836,1921,8.57,8.292
1922,Tashkent,Uzbekistan,11.13,9.83,1922,8.41,8.37
1923,Tashkent,Uzbekistan,10.02,9.846,1923,8.42,8.428
1924,Tashkent,Uzbekistan,10.31,9.918,1924,8.51,8.454
1925,Tashkent,Uzbekistan,10.79,10.346,1925,8.53,8.488
1926,Tashkent,Uzbekistan,10.45,10.54,1926,8.73,8.52
1927,Tashkent,Uzbekistan,10.39,10.392,1927,8.52,8.542
1928,Tashkent,Uzbekistan,9.47,10.282,1928,8.63,8.584
1929,Tashkent,Uzbekistan,9.07,10.034,1929,8.24,8.53
1930,Tashkent,Uzbekistan,9.24,9.724,1930,8.63,8.55
1931,Tashkent,Uzbekistan,9.39,9.512,1931,8.72,8.548
1932,Tashkent,Uzbekistan,9.72,9.378,1932,8.71,8.586
1933,Tashkent,Uzbekistan,10.07,9.498,1933,8.34,8.528
1934,Tashkent,Uzbekistan,8.92,9.468,1934,8.63,8.606
1935,Tashkent,Uzbekistan,9.44,9.508,1935,8.52,8.584
1936,Tashkent,Uzbekistan,10.24,9.678,1936,8.55,8.55
1937,Tashkent,Uzbekistan,9.58,9.65,1937,8.7,8.548
1938,Tashkent,Uzbekistan,10.75,9.786,1938,8.86,8.652
1939,Tashkent,Uzbekistan,10.99,10.2,1939,8.76,8.678
1940,Tashkent,Uzbekistan,11.55,10.622,1940,8.76,8.726
1941,Tashkent,Uzbekistan,11.92,10.958,1941,8.77,8.77
1942,Tashkent,Uzbekistan,10.75,11.192,1942,8.73,8.776
1943,Tashkent,Uzbekistan,9.91,11.024,1943,8.76,8.756
1944,Tashkent,Uzbekistan,11.21,11.068,1944,8.85,8.774
1945,Tashkent,Uzbekistan,9.85,10.728,1945,8.58,8.738
1946,Tashkent,Uzbekistan,10.67,10.478,1946,8.68,8.72
1947,Tashkent,Uzbekistan,11.32,10.592,1947,8.8,8.734
1948,Tashkent,Uzbekistan,10.55,10.72,1948,8.75,8.732
1949,Tashkent,Uzbekistan,9.25,10.328,1949,8.59,8.68
1950,Tashkent,Uzbekistan,9.44,10.246,1950,8.37,8.638
1951,Tashkent,Uzbekistan,9.9,10.092,1951,8.63,8.628
1952,Tashkent,Uzbekistan,10.5,9.928,1952,8.64,8.596
1953,Tashkent,Uzbekistan,10.49,9.916,1953,8.87,8.62
1954,Tashkent,Uzbekistan,9.5,9.966,1954,8.56,8.614
1955,Tashkent,Uzbekistan,11.37,10.352,1955,8.63,8.666
1956,Tashkent,Uzbekistan,10.81,10.534,1956,8.28,8.596
1957,Tashkent,Uzbekistan,9.43,10.32,1957,8.73,8.614
1958,Tashkent,Uzbekistan,10.88,10.398,1958,8.77,8.594
1959,Tashkent,Uzbekistan,10.32,10.562,1959,8.73,8.628
1960,Tashkent,Uzbekistan,10.09,10.306,1960,8.58,8.618
1961,Tashkent,Uzbekistan,11.31,10.406,1961,8.8,8.722
1962,Tashkent,Uzbekistan,10.85,10.69,1962,8.75,8.726
1963,Tashkent,Uzbekistan,11.73,10.86,1963,8.86,8.744
1964,Tashkent,Uzbekistan,9.76,10.748,1964,8.41,8.68
1965,Tashkent,Uzbekistan,11.1,10.95,1965,8.53,8.67
1966,Tashkent,Uzbekistan,11.15,10.918,1966,8.6,8.63
1967,Tashkent,Uzbekistan,10.52,10.852,1967,8.7,8.62
1968,Tashkent,Uzbekistan,10.57,10.62,1968,8.52,8.552
1969,Tashkent,Uzbekistan,9.03,10.474,1969,8.6,8.59
